2018,1147,12,1135,98.95
2003,1142,43,1099,96.23
2009,1140,36,1104,96.84
2004,1135,37,1098,96.74
2001,1122,42,1080,96.26
2016,1122,17,1105,98.48
2006,1118,44,1074,96.06
2008,1108,37,1071,96.66
2013,1105,20,1085,98.19
2012,1103,27,1076,97.55
2011,1101,24,1077,97.82
2010,1099,16,1083,98.54
2005,1097,41,1056,96.26
2017,1091,16,1075,98.53
2007,1090,30,1060,97.25
2019,1083,12,1071,98.89
2002,1067,36,1031,96.63
2015,1059,18,1041,98.3
2014,1053,15,1038,98.58
2020,1012,4,1008,99.6
2000,220,6,214,97.27
